title,author,img,url
Долина Страха,Артур Конан Дойл,https://img4.labirint.ru/rc/b14b17eb9786a19fcabc93a8a136b811/363x561q80/books72/714940/cover.jpg?1568035517,https://www.labirint.ru/books/714940/
Тарзан и его звери,Эдгар Райс Берроуз,https://img4.labirint.ru/rc/35eb7d0de146be01e980396ca198a18d/363x561q80/books45/449590/cover.jpg?1563782809,https://www.labirint.ru/books/449590/
Ким,Редьярд Киплинг,https://img4.labirint.ru/rc/f02c67cf80733e33e3c1ddd600a42b16/363x561q80/books88/876338/cover.jpg?1660584339,https://www.labirint.ru/books/876338/
Необыкновенное путешествие к центру земли,Эдгар Райс Берроуз,img,ссылки нет
Удача Барри Линдона,Уильям Мейкпис Теккерей,img,ссылки нет
Закоренелый преступник,Эдгар Райс Берроуз,https://img4.labirint.ru/rc/ccc2b3af8ba1e855e27ddedeff8c3951/363x561q80/books8/74190/cover.jpg?1280394613,https://www.labirint.ru/books/74190/
Установленный срок,Энтони Троллоп,img,ссылки нет
Ширли,Шарлотта Бронте,https://img3.labirint.ru/rc/e9eca1a9cc7be5e77d3c8894648f649e/363x561q80/books54/533043/cover.jpg?1563907550,https://www.labirint.ru/books/77411/
Дальнейшие приключения Робинзона Крузо,Даниель Дефо,https://img4.labirint.ru/rc/47f08b08cd96f905a9bdcb1296e40300/363x561q80/books75/747718/cover.png?1587990312,https://www.labirint.ru/books/747718/
Жёлтый Кром,Олдос Хаксли,https://img3.labirint.ru/rc/feda3a62689eeecf41ebc699a1e16812/363x561q80/books67/662987/cover.jpg?1564133294,https://www.labirint.ru/books/662987/
Грубиян,Эдгар Райс Берроуз,img,ссылки нет
Маленькие мужчины,Луиза Мей Олкотт,https://img4.labirint.ru/rc/a1f9b85e3f0b12777cbb15fb98e271e8/363x561q80/books80/790448/cover.jpg?1613453120,https://www.labirint.ru/books/790448/
Весною,Ги де Мопассан,img,ссылки нет
Лось,Эдгар Аллан По,img,ссылки нет
Мороз,Антон Павлович Чехов,img,ссылки нет
Светлокожая Ли Ван,Джек Лондон,img,ссылки нет
Путь ложных солнц,Джек Лондон,img,ссылки нет
Сон в летнюю сушь,О. Генри,img,ссылки нет
Женское презрение,Джек Лондон,img,ссылки нет
Замечательный случай с глазами Дэвидсона,Герберт Джордж Уэллс,img,ссылки нет
Поворот винта,Генри Джеймс,https://img4.labirint.ru/rc/1798a4feadc33979decbc7244905965b/363x561q80/books67/664508/cover.png?1600431904,https://www.labirint.ru/books/664508/
Ужас в Ред-Хуке,Говард Филлипс Лавкрафт,img,ссылки нет
Необыкновенный,Антон Павлович Чехов,img,ссылки нет
Муниципальный отчет,О.Генри,img,ссылки нет
Сигнальщик,Чарльз Диккенс,img,ссылки нет
Дом судьи,Брэм Стокер,img,ссылки нет
Битва жизни,Чарльз Диккенс,https://img4.labirint.ru/rc/97f41574331acd89bf5763d325457261/363x561q80/books56/551268/cover.jpg?1644733509,https://www.labirint.ru/books/551268/
Крукенские пески,Брэм Стокер,img,ссылки нет
Посмертные записки Пиквикского клуба,Чарльз Диккенс,https://img3.labirint.ru/rc/e54f54c6683a2a238cc502a8c03531cc/363x561q80/books64/631687/cover.png?1575394175,https://www.labirint.ru/books/631687/
Барнеби Радж,Чарльз Диккенс,https://img3.labirint.ru/rc/937c645c9a55fbda85e638c83c8cda0a/363x561q80/books65/641717/cover.jpg?1564114268,https://www.labirint.ru/books/641717/
Возвращение Абеля Бехенны,Брэм Стокер,img,ссылки нет
Николас Никльби,Чарльз Диккенс,https://img4.labirint.ru/rc/e4221490f533a6bf83b1bb5665340655/363x561q80/books84/832408/cover.jpg?1640366706,https://www.labirint.ru/books/832408/
Пойман с поличным,Чарльз Диккенс,img,ссылки нет
Тайна золотых прядей,Брэм Стокер,img,ссылки нет
Предсказание цыганки,Брэм Стокер,img,ссылки нет
Три рассказа о сыщиках,Чарльз Диккенс,https://img3.labirint.ru/rc/787f6752e872f744c4067f706e69312a/363x561q80/books53/529629/cover.jpg?1607322374,https://www.labirint.ru/books/529629/
"Режьте, братцы, режьте!",Марк Твен,https://img3.labirint.ru/rc/343fda06d3906401ae3ff3f7a7001ad2/363x561q80/books85/849545/cover.png?1651850707,https://www.labirint.ru/books/849545/
В Аркадии проездом,О. Генри,img,ссылки нет
Заблудшие,Антон Павлович Чехов,img,ссылки нет
Остатки кодекса чести,О. Генри,img,ссылки нет
Обида,Александр Куприн,img,ссылки нет
Трест который лопнул,О.Генри,img,ссылки нет
Таинственное посещение,Марк Твен,img,ссылки нет
Желтый платок,Джек Лондон,img,ссылки нет
Гиперборейский напиток,Джек Лондон,img,ссылки нет
"Бее Бее, Черная овца",Редьярд Киплинг,img,ссылки нет
Маленький герой,Фёдор Михайлович Достоевский,img,ссылки нет
Коридорный,Чарльз Диккенс,img,ссылки нет
Наш общий друг,Чарльз Диккенс,https://img4.labirint.ru/rc/eaa34bcea67ea5ed2d2f97318c409b40/363x561q80/books65/647082/cover.jpg?1564118235,https://www.labirint.ru/books/647082/
Леди Сьюзан,Джейн Остин,https://img4.labirint.ru/rc/bf90b4d858c8d260a575da69e1f6ea41/363x561q80/books84/837060/cover.jpg?1641803112,https://www.labirint.ru/books/837060/
Отцы и Дети,Иван Тургенев,https://img4.labirint.ru/rc/a66be0b01b6c7cde299bd8ff0c794c73/363x561q80/books64/630372/cover.png?1575394130,https://www.labirint.ru/books/630372/
Жгучая тайна,Стефан Цвейг,https://img3.labirint.ru/rc/d8f51870ff57355a712e2acf181809f4/363x561q80/books73/728069/cover.jpg?1575894347,https://www.labirint.ru/books/728069/
24 часа из жизни женщины,Стефан Цвейг,https://img4.labirint.ru/rc/bcfd9c02f20b4ae52b9aaa12a7ec12dd/363x561q80/books73/726182/cover.jpg?1574144740,https://www.labirint.ru/books/726182/
Великий Гэтсби,Фрэнсис Скотт Фицджеральд,https://img3.labirint.ru/rc/99a0745117f5202e49910a3e71df9acb/363x561q80/books86/850729/cover.png?1654007107,https://www.labirint.ru/books/850729/
Алая буква,Натаниэль Готорн,https://img4.labirint.ru/rc/de19516bc5cadb4137ea35ce44f1299b/363x561q80/books82/819114/cover.jpg?1629959112,https://www.labirint.ru/books/819114/
Декамерон,Джованни Боккаччо,https://img4.labirint.ru/rc/979b249a5cac5189f069139a16650114/363x561q80/books80/797560/cover.jpg?1617024354,https://www.labirint.ru/books/797560/
Писец Бартлби,Герман Мелвилл,https://img4.labirint.ru/rc/59491b148e5115b0b3ec6e9102abdd19/363x561q80/books64/634730/cover.jpg?1521213955,https://www.labirint.ru/books/634730/
Мидлмарч,Джордж Элиот,https://img4.labirint.ru/rc/02c66414d89a2813edbfdbe3b9afc9e3/363x561q80/books74/734364/cover.jpg?1606840403,https://www.labirint.ru/books/734364/
Мизантроп,Мольер,https://img3.labirint.ru/rc/2efc3b25bb9a0d6419debc6162ff83c0/363x561q80/books83/826635/cover.jpg?1637515521,https://www.labirint.ru/books/826635/
Покинутая женщина,Оноре де Бальзак,img,ссылки нет
Колодец и маятник,Эдгар Аллан По,https://img4.labirint.ru/rc/44f76b6a0be583386ef5bcb3ba9627d7/363x561q80/books5/40550/cover.jpg?1563719178,https://www.labirint.ru/books/40550/
Последний день приговорённого к смерти,Виктор Гюго,https://img4.labirint.ru/rc/10ee752fe0fb7c8b9524ae9423c16d1c/363x561q80/books74/733572/cover.jpg?1579328785,https://www.labirint.ru/books/733572/
Утраченные иллюзии,Оноре де Бальзак,https://img4.labirint.ru/rc/e32aa2b2a3d7e68a167ce95a85b584a1/363x561q80/books64/635822/cover.png?1575383209,https://www.labirint.ru/books/635822/
Мэнсфилд-парк,Джейн Остин,https://img4.labirint.ru/rc/6fa53c1d88c9494f0a73cad0bbc64c29/363x561q80/books88/877318/cover.jpg?1661700338,https://www.labirint.ru/books/877318/
Милый друг,Ги де Мопассан,https://img4.labirint.ru/rc/9dc136387058e3ae6277dfd3848efa3e/363x561q80/books66/655792/cover.png?1575372533,https://www.labirint.ru/books/655792/
