0,1,2,3,4,5,6,7,8
2004,1,1109,2005,2006,116,25,39,12
1126,153,154,138,13,3,4,55,215
2,608,467,248,153,15,4,12,218
2092,2093,2094,2,2095,2096,395,600,1160
1,68,6,76,72,2306,11,15,69
2,7,289,9,40,215,1202,0,2040
2359,2,1,59,57,13,2360,9,386
14,6,637,20,493,28,3,16,13
849,2,84,76,154,619,145,13,1257
1,2359,6,131,120,88,0,22,7
153,2481,10,3,1202,2343,37,39,103
24,67,17,12,58,119,74,485,484
302,2540,2541,2542,2543,1302,632,668,2544
1307,1171,818,2450,2552,2553,2554,1161,1308
2558,1309,463,898,2559,1310,899,900,2560
1314,2570,2361,2571,824,2493,2572,2573,1
13,307,0,153,2580,2581,2582,350,24
2609,1328,1329,523,2570,186,672,484,1330
2618,2619,3,2620,824,115,299,14,32
674,909,2043,2633,235,2634,2091,1341,1314
24,251,156,6,21,154,3,58,184
2678,2069,920,2679,278,1357,2680,1358,2681
2683,921,1112,637,28,2684,2685,2686,2687
1362,9,2692,897,2693,2694,2695,2696,7
62,531,16,1367,308,212,14,3,9
1118,921,684,5,9,2715,679,68,124
1377,2737,2738,14,0,2739,2,20,832
21,2763,2764,70,1386,34,1328,1387,1253
67,417,206,133,109,207,34,1197,69
1408,14,1,4,1409,2,942,0,123
953,2811,2640,2812,1,2813,1418,302,1387
67,417,133,6,1,34,699,69,116
6,2837,1362,105,69,176,44,2838,2839
1436,2666,2858,2859,959,2860,2861,2862,2863
401,67,1344,960,35,2875,86,2,2876
515,1,963,1426,69,20,706,72,2887
30,366,76,967,1446,17,2903,710,1447
2912,2913,1328,2914,2756,130,2702,2915,1
60,256,605,144,623,2918,2919,712,112
2927,97,2037,920,2928,279,1203,2929,1456
2932,2018,2933,2934,433,2935,2936,9,2846
463,897,2951,2952,1150,0,157,1459,688
714,2958,2959,1307,58,2960,952,2961,2962
2965,900,1452,2966,688,2908,856,653,2929
153,2982,2983,972,2984,2631,64,50,2607
2992,2993,0,2994,199,505,343,28,715
1,3018,367,559,134,518,505,1470,640
68,15,1473,3034,2746,939,706,1474,351
67,116,2,206,109,168,166,360,207
3052,1,477,93,931,27,1295,3053,11
3065,3066,3067,3068,3069,3070,3071,1,2
1,615,7,14,88,181,565,227,13
1,3282,2023,2874,3283,2977,11,2707,1505
3,14,3298,1,0,7,24,118,17
3320,2775,490,998,611,248,314,462,3298
1,6,12,829,248,13,65,624,1526
76,3371,1,208,513,3372,1533,3373,43
3052,267,1,168,255,2,189,67,25
3058,3397,440,79,3398,3399,0,37,86
61,1,70,321,734,3404,6,1244,3405
3417,71,716,1285,3418,3419,3420,115,94
397,186,35,1555,3420,1556,3404,24,28
1,2,50,60,867,72,140,37,439
3450,2823,1,11,2789,6,29,3,25
397,4,72,7,0,21,5,60,35
2,3484,1,1152,3485,72,1201,3406,7
2036,178,2428,3,0,4,3507,846,104
177,2861,2797,3514,3515,1029,3516,2742,1592
2698,1522,412,98,1593,1026,3340,750,96
3520,2650,3521,1561,2,2038,3522,47,3523
883,3524,810,716,0,1594,166,538,3525
2,192,1598,1,1509,151,2546,3534,2948
1251,172,3548,11,579,2992,3374,159,3549
3552,2936,672,3534,1,431,1388,1602,1603
1555,2704,36,23,1579,3557,60,869,2656
684,5,1607,3565,39,1186,1113,1035,10
4,3578,3579,608,9,3580,2320,392,570
47,3606,962,1618,1260,53,1560,1333,3607
3053,1,102,3616,3617,133,6,1424,68
163,570,1,2324,829,3592,3625,1612,12
25,6,1,3647,11,23,41,3648,1145
1,2,3450,2790,3664,3665,3647,25,6
12,248,1,2,588,858,9,680,50
1,68,140,116,253,15,69,105,6
2,1,3,589,2474,3018,25,3708,65
3720,153,1194,3703,3579,2366,3,339,204
3732,623,402,560,1005,3733,247,88,284
1006,5,508,2966,248,1667,1668,845,3305
2092,2093,2094,2,2095,2096,395,600,1160
325,9,3745,3746,58,81,1543,3747,3748
3750,3751,3752,959,3753,3754,52,3755,3756
3750,3751,3752,959,3753,3754,52,3755,3756
3920,2066,3921,158,154,359,36,2,461
399,3,2725,0,3928,86,653,1028,1339
1681,126,857,159,3938,97,73,3939,28
3029,3030,276,525,27,1663,1,1214,18
766,856,839,498,2998,2416,809,869,3954
3569,23,1267,291,2937,5,69,236,59
6,168,171,116,67,203,638,231,1125
12,3968,273,42,0,3969,63,159,3970
3971,3970,655,3982,1063,0,3968,8,3973
67,116,2785,1231,166,168,360,0,109
1065,153,3665,3993,134,818,3994,1588,3672
1363,1,35,998,4004,124,4005,39,3
1,6,11,67,29,3,3056,579,52
2,1,68,34,3616,6,110,5,57
6,3,1,7,2,275,53,2547,11
